simulation_timestamp,observation_id,action_generation,heating_setpoint_c,cooling_setpoint_c,hold_minutes
1986-07-18T21:15:00.000000Z,1983,97,19.0,24.0,60
1986-07-18T22:15:00.000000Z,1987,98,19.0,24.0,60
1986-07-18T23:15:00.000000Z,1991,99,19.0,24.0,60
1986-07-19T00:15:00.000000Z,1995,100,19.0,24.0,60
1986-07-19T01:15:00.000000Z,1999,101,19.0,24.0,60
1986-07-19T02:15:00.000000Z,2003,102,19.0,24.0,60
1986-07-19T03:15:00.000000Z,2007,103,17.0,26.0,60
1986-07-19T04:15:00.000000Z,2011,104,17.0,26.0,60
1986-07-19T05:15:00.000000Z,2015,105,17.0,26.0,60
1986-07-19T06:15:00.000000Z,2019,106,17.0,26.0,60
1986-07-19T07:15:00.000000Z,2023,107,17.0,26.0,60
1986-07-19T08:15:00.000000Z,2027,108,17.0,26.0,60
1986-07-19T09:15:00.000000Z,2031,109,17.0,26.0,60
1986-07-19T10:15:00.000000Z,2035,110,17.0,26.0,60
1986-07-19T11:15:00.000000Z,2039,111,17.0,26.0,60
1986-07-19T12:15:00.000000Z,2043,112,17.0,26.0,60
1986-07-19T13:15:00.000000Z,2047,113,17.0,26.0,60
1986-07-19T14:15:00.000000Z,2051,114,17.0,27.0,60
1986-07-19T15:15:00.000000Z,2055,115,17.0,27.0,60
1986-07-19T16:15:00.000000Z,2059,116,17.0,27.0,60
1986-07-19T17:15:00.000000Z,2063,117,17.0,27.0,60
1986-07-19T18:15:00.000000Z,2067,118,17.0,27.0,60
1986-07-19T19:15:00.000000Z,2071,119,17.0,27.0,60
1986-07-19T20:15:00.000000Z,2075,120,17.0,27.0,60
1986-07-19T21:15:00.000000Z,2079,121,17.0,27.0,60
1986-07-19T22:15:00.000000Z,2083,122,17.0,27.0,60
1986-07-19T23:15:00.000000Z,2087,123,17.0,27.0,60
1986-07-20T00:15:00.000000Z,2091,124,17.0,27.0,60
1986-07-20T01:15:00.000000Z,2095,125,17.0,27.0,60
1986-07-20T02:15:00.000000Z,2099,126,17.0,27.0,60
1986-07-20T03:15:00.000000Z,2103,127,17.0,27.0,60
1986-07-20T04:15:00.000000Z,2107,128,17.0,27.0,60
1986-07-20T05:15:00.000000Z,2111,129,17.0,27.0,60
1986-07-20T06:15:00.000000Z,2115,130,17.0,27.0,60
1986-07-20T07:15:00.000000Z,2119,131,17.0,27.0,60
1986-07-20T08:15:00.000000Z,2123,132,17.0,27.0,60
1986-07-20T09:15:00.000000Z,2127,133,17.0,27.0,60
1986-07-20T10:15:00.000000Z,2131,134,17.0,27.0,60
1986-07-20T11:15:00.000000Z,2135,135,17.0,27.0,60
1986-07-20T12:15:00.000000Z,2139,136,17.0,27.0,60
1986-07-20T13:15:00.000000Z,2143,137,17.0,27.0,60
1986-07-20T14:15:00.000000Z,2147,138,17.0,27.0,60
1986-07-20T15:15:00.000000Z,2151,139,17.0,27.0,60
1986-07-20T16:15:00.000000Z,2155,140,17.0,27.0,60
1986-07-20T17:15:00.000000Z,2159,141,17.0,27.0,60
1986-07-20T18:15:00.000000Z,2163,142,17.0,27.0,60
1986-07-20T19:15:00.000000Z,2167,143,17.0,27.0,60
1986-07-20T20:15:00.000000Z,2171,144,17.0,27.0,60
1986-07-20T21:15:00.000000Z,2175,145,17.0,27.0,60
1986-07-20T22:15:00.000000Z,2179,146,17.0,27.0,60
1986-07-20T23:15:00.000000Z,2183,147,17.0,27.0,60
1986-07-21T00:15:00.000000Z,2187,148,17.0,27.0,60
1986-07-21T01:15:00.000000Z,2191,149,17.0,27.0,60
1986-07-21T02:15:00.000000Z,2195,150,17.0,27.0,60
1986-07-21T03:15:00.000000Z,2199,151,17.0,27.0,60
1986-07-21T04:15:00.000000Z,2203,152,17.0,27.0,60
1986-07-21T05:15:00.000000Z,2207,153,17.0,27.0,60
1986-07-21T06:15:00.000000Z,2211,154,17.0,27.0,60
1986-07-21T07:15:00.000000Z,2215,155,17.0,27.0,60
1986-07-21T08:15:00.000000Z,2219,156,19.0,26.0,60
1986-07-21T09:15:00.000000Z,2223,157,19.0,25.0,60
1986-07-21T10:15:00.000000Z,2227,158,19.0,24.0,60
1986-07-21T11:15:00.000000Z,2231,160,19.0,23.0,60
1986-07-21T12:15:00.000000Z,2235,161,19.0,23.0,60
1986-07-21T13:15:00.000000Z,2239,162,19.0,23.0,60
1986-07-21T14:15:00.000000Z,2243,163,19.0,23.0,60
1986-07-21T15:15:00.000000Z,2247,164,19.0,23.0,60
1986-07-21T16:15:00.000000Z,2251,165,19.0,23.0,60
1986-07-21T17:15:00.000000Z,2255,166,19.0,23.0,60
1986-07-21T18:15:00.000000Z,2259,167,19.0,23.0,60
1986-07-21T19:15:00.000000Z,2263,168,19.0,23.0,60
1986-07-21T20:15:00.000000Z,2267,169,19.0,23.0,60
1986-07-21T21:15:00.000000Z,2271,170,19.0,24.0,60
1986-07-21T22:15:00.000000Z,2275,171,19.0,24.0,60
1986-07-21T23:15:00.000000Z,2279,172,17.0,26.0,60
