**ACTUATORS**
Actuator,Schedule:Compact,Schedule Value,ACTSCHD,[ ]
Actuator,Schedule:Compact,Schedule Value,CLG-SETP-SCH,[ ]
Actuator,Schedule:Compact,Schedule Value,EQUIP-1,[ ]
Actuator,Schedule:Compact,Schedule Value,ECOLOOP ACTUATED COOLING SETPOINT,[ ]
Actuator,Schedule:Compact,Schedule Value,ECOLOOP ACTUATED HEATING SETPOINT,[ ]
Actuator,Schedule:Compact,Schedule Value,ECOLOOP REFERENCE COOLING SETPOINT,[ ]
Actuator,Schedule:Compact,Schedule Value,ECOLOOP REFERENCE HEATING SETPOINT,[ ]
Actuator,Schedule:Compact,Schedule Value,FANAVAILSCHED,[ ]
Actuator,Schedule:Compact,Schedule Value,HVACTEMPLATE-ALWAYS 0,[ ]
Actuator,Schedule:Compact,Schedule Value,HVACTEMPLATE-ALWAYS 1,[ ]
Actuator,Schedule:Compact,Schedule Value,HVACTEMPLATE-ALWAYS 4,[ ]
Actuator,Schedule:Compact,Schedule Value,HTG-SETP-SCH,[ ]
Actuator,Schedule:Compact,Schedule Value,INFIL-SCH,[ ]
Actuator,Schedule:Compact,Schedule Value,LIGHTS-1,[ ]
Actuator,Schedule:Compact,Schedule Value,MIN OA SCHED,[ ]
Actuator,Schedule:Compact,Schedule Value,OCCUPY-1,[ ]
Actuator,Schedule:Compact,Schedule Value,SHADETRANSSCH,[ ]
Actuator,Schedule:Constant,Schedule Value,ECOLOOP AIR VELOCITY,[ ]
Actuator,Schedule:Constant,Schedule Value,ECOLOOP SUMMER OFFICE CLOTHING,[ ]
Actuator,Schedule:Constant,Schedule Value,ECOLOOP WORK EFFICIENCY,[ ]
Actuator,Weather Data,Outdoor Dry Bulb,Environment,[C]
Actuator,Weather Data,Outdoor Dew Point,Environment,[C]
Actuator,Weather Data,Outdoor Relative Humidity,Environment,[%]
Actuator,Weather Data,Diffuse Solar,Environment,[W/m2]
Actuator,Weather Data,Direct Solar,Environment,[W/m2]
Actuator,Weather Data,Wind Speed,Environment,[m/s]
Actuator,Weather Data,Wind Direction,Environment,[deg]
Actuator,Material,Surface Property Solar Absorptance,BR01,[ ]
Actuator,Material,Surface Property Thermal Absorptance,BR01,[ ]
Actuator,Material,Surface Property Visible Absorptance,BR01,[ ]
Actuator,Material,Surface Property Solar Absorptance,CC03,[ ]
Actuator,Material,Surface Property Thermal Absorptance,CC03,[ ]
Actuator,Material,Surface Property Visible Absorptance,CC03,[ ]
Actuator,Material,Surface Property Solar Absorptance,GP01,[ ]
Actuator,Material,Surface Property Thermal Absorptance,GP01,[ ]
Actuator,Material,Surface Property Visible Absorptance,GP01,[ ]
Actuator,Material,Surface Property Solar Absorptance,GP02,[ ]
Actuator,Material,Surface Property Thermal Absorptance,GP02,[ ]
Actuator,Material,Surface Property Visible Absorptance,GP02,[ ]
Actuator,Material,Surface Property Solar Absorptance,IN02,[ ]
Actuator,Material,Surface Property Thermal Absorptance,IN02,[ ]
Actuator,Material,Surface Property Visible Absorptance,IN02,[ ]
Actuator,Material,Surface Property Solar Absorptance,IN46,[ ]
Actuator,Material,Surface Property Thermal Absorptance,IN46,[ ]
Actuator,Material,Surface Property Visible Absorptance,IN46,[ ]
Actuator,Material,Surface Property Solar Absorptance,PW03,[ ]
Actuator,Material,Surface Property Thermal Absorptance,PW03,[ ]
Actuator,Material,Surface Property Visible Absorptance,PW03,[ ]
Actuator,Material,Surface Property Solar Absorptance,RG01,[ ]
Actuator,Material,Surface Property Thermal Absorptance,RG01,[ ]
Actuator,Material,Surface Property Visible Absorptance,RG01,[ ]
Actuator,Material,Surface Property Solar Absorptance,WD01,[ ]
Actuator,Material,Surface Property Thermal Absorptance,WD01,[ ]
Actuator,Material,Surface Property Visible Absorptance,WD01,[ ]
Actuator,Material,Surface Property Solar Absorptance,WD10,[ ]
Actuator,Material,Surface Property Thermal Absorptance,WD10,[ ]
Actuator,Material,Surface Property Visible Absorptance,WD10,[ ]
Actuator,Material,Surface Property Solar Absorptance,CP01,[ ]
Actuator,Material,Surface Property Thermal Absorptance,CP01,[ ]
Actuator,Material,Surface Property Visible Absorptance,CP01,[ ]
Actuator,Material,Surface Property Solar Absorptance,MAT-CLNG-1,[ ]
Actuator,Material,Surface Property Thermal Absorptance,MAT-CLNG-1,[ ]
Actuator,Material,Surface Property Visible Absorptance,MAT-CLNG-1,[ ]
Actuator,People,Number of People,SPACE1-1 PEOPLE 1,[each]
Actuator,People,Number of People,SPACE2-1 PEOPLE 1,[each]
Actuator,People,Number of People,SPACE3-1 PEOPLE 1,[each]
Actuator,People,Number of People,SPACE4-1 PEOPLE 1,[each]
Actuator,People,Number of People,SPACE5-1 PEOPLE 1,[each]
Actuator,Lights,Electricity Rate,SPACE1-1 LIGHTS 1,[W]
Actuator,Lights,Electricity Rate,SPACE2-1 LIGHTS 1,[W]
Actuator,Lights,Electricity Rate,SPACE3-1 LIGHTS 1,[W]
Actuator,Lights,Electricity Rate,SPACE4-1 LIGHTS 1,[W]
Actuator,Lights,Electricity Rate,SPACE5-1 LIGHTS 1,[W]
Actuator,ElectricEquipment,Electricity Rate,SPACE1-1 ELECEQ 1,[W]
Actuator,ElectricEquipment,Electricity Rate,SPACE2-1 ELECEQ 1,[W]
Actuator,ElectricEquipment,Electricity Rate,SPACE3-1 ELECEQ 1,[W]
Actuator,ElectricEquipment,Electricity Rate,SPACE4-1 ELECEQ 1,[W]
